Perguntas,Opcao 1,Opcao 2,Opcao 3,Opcao 4,Resposta Correta
"Qual é o nome do Pokémon que é conhecido como o 'Pokémon Elétrico'?",Pikachu,Raichu,Jolteon,Magneton,1
"Qual é o primeiro Pokémon na Pokédex?",Bulbasaur,Charmander,Squirtle,Pidgey,1
"Em que cidade Ash Ketchum começa sua jornada?",Pallet Town,Viridian City,Cerulean City,Peach Town,1
"Qual é o nome do Professor que envia Ash em sua jornada?",Professor Oak,Professor Elm,Professor Kukui,Professor Sycamore,1
"Qual é o tipo de Pokémon de Charizard?",Fogo/Voador,Fogo/Dragão,Fogo,Dragão,1
"Qual é o Pokémon inicial de Kanto que é do tipo Água?",Squirtle,Charmander,Bulbasaur,Pidgey,1
"Em Pokémon, o que a abreviação 'HP' significa?",Health Points,Hit Points,Hyper Points,Heart Points,2
"Qual é o Pokémon lendário que controla o tempo?",Dialga,Raikou,Lugia,Zygarde,1
"Qual é o tipo de Pokémon que é forte contra o tipo Água?",Elétrico,Terra,Fogo,Psíquico,2
"Qual Pokémon é conhecido como o 'Pokémon Lendário do Fogo'?",Moltres,Articuno,Zapdos,Lugia,1
"Qual é o Pokémon evoluído de Eevee com o tipo Água?",Vaporeon,Jolteon,Flareon,Espeon,1
"Quem é o rival principal de Ash em várias regiões?",Gary Oak,Paul,Hop,Silver,1
"Em Pokémon Go, qual é o nome do time liderado por Blanche?",Team Mystic,Team Valor,Team Instinct,Team Rocket,1
"Qual é o Pokémon mais raro e poderoso da região de Galar?",Zamazenta,Dragapult,Zygarde,Eternatus,4
"Quem é a líder de ginásio de Viridian City?",Giovanni,Blaine,Erika,Misty,1
"Qual Pokémon tem a habilidade de se transformar em outros Pokémon?",Ditto,Mewtwo,Porygon,Zoroark,1
"Qual é o nome do Pokémon que tem o poder de controlar o espaço?",Palkia,Regigigas,Zekrom,Mewtwo,1
"Qual Pokémon é famoso por sua habilidade de curar outros Pokémon?",Chansey,Jigglypuff,Audino,Togepi,3
"Em que geração o Pokémon Lucario foi introduzido?",Geração IV,Geração II,Geração III,Geração V,1
"Qual é o nome do Pokémon que é conhecido como o 'Pokémon Voador Lendário' da região de Unova?",Reshiram,Zekrom,Kyurem,Thundurus,1
"Qual é o Pokémon que pode ser encontrado na forma de 'Alola' na região de Alola?",Exeggutor,Alolan Sandshrew,Alolan Raichu,Alolan Muk,1
